,Colegio,colegio_id
779,los robles de los libertadores,779
780,lycee antoine de saint-exupery,780
781,madre de jesus,781
782,madre de la divina providencia,782
783,maese da vinci,783
784,mahatma gandhi,784
785,maimonides school,785
786,maitenes,786
787,manantial de la florida,787
788,manquecura,788
789,manquecura ciudad de los valles,789
790,manquecura valle lo campino,790
791,manquemavida,791
792,manso de velasco,792
793,marambio,793
794,maria ana mogas,794
795,maria auxiliadora,795
796,maria educa,796
797,maria inmaculada,797
798,maria luisa villalon,798
799,maria montessori,799
800,maria teresa cancino aguilar,800
801,mariano,801
802,marquel,802
803,master college,803
804,master school,804
805,mater dei,805
806,matilde huici navas,806
807,mauricio rugendas,807
808,mayor,808
809,mayor tobalaba,809
810,melford college,810
811,melipilla,811
812,merryland,812
813,metodista,813
814,miguel de cervantes,814
815,mirador ,815
816,miramar,816
817,mistral,817
818,monseñor manuel larrain errazuriz,818
819,montahue,819
820,montaner,820
821,monte de asis,821
822,montemar,822
823,montessori,823
824,montessori huelquen,824
825,montessori pucalan,825
826,monteverde,826
827,municipal instituto chacabuco,827
828,nacional,828
829,nahuel,829
830,nahuelcura,830
831,navarra,831
832,nazaret de la florida,832
833,netlandschool,833
834,new heinrich high school,834
835,new little college,835
836,nidal,836
837,nido de aguilas,837
838,niño jesus,838
839,niño jesus de praga,839
840,north college,840
841,north cross school,841
842,notre dame,842
843,nova terra,843
844,novo horizonte,844
845,novo mundo,845
846,nuestra señora de andacollo,846
847,nuestra señora de ayquina,847
848,nuestra señora de guadalupe,848
849,nuestra señora de la merced,849
850,nuestra señora del camino,850
851,nuestra señora del carmen,851
852,nuestra señora del huerto,852
853,nuestra señora del loreto,853
854,nuestra señora del rosario,854
855,nuestra señora maria inmaculada,855
856,nueva aurora de chile,856
857,nueva era siglo xxi,857
858,nueva nazaret,858
859,nuevo diego de almagro,859
860,nuevo hispano chileno,860
861,nuevo horizonte,861
862,obispo alvear,862
863,olivar college,863
864,oratorio don bosco ,864
865,orchard college,865
866,oxford,866
867,ozanam,867
868,pablo apostol,868
869,padre alberto hurtado,869
870,padre hurtado y juanita de los andes,870
871,padre jose kentenich ,871
872,padre luis amigo,872
873,padre manuel d`alzon,873
874,paideia,874
875,palmares,875
876,panquehue,876
877,parroquial francisco didier,877
878,parroquial maria goretti,878
879,parroquial san miguel,879
880,parroquial santa rosa de lo barnechea,880
881,pasion de jesus,881
882,patricio mekis,882
883,patrocinio san jose,883
884,patrona sra. de lourdes,884
885,paul harris school,885
886,paula jaraquemada,886
887,pedro apostol ,887
888,pedro de valdivia,888
889,pedro de valdivia-agustinas,889
890,people help people,890
891,peumayen,891
892,piamarta ,892
893,pierre teilhard de chardin,893
894,pinares,894
895,politecnico aleman albert einstein,895
896,politecnico eyzaguirre,896
897,politecnico santa ana,897
898,polivalente almendral,898
899,polivalente domingo matte mesias,899
900,polivalente falcon college,900
901,polivalente francisco ramirez,901
902,polivalente geronimo de alderete,902
903,polivalente ingles,903
904,polivalente lovaina,904
905,polivalente patricio mekis,905
906,polivalente principe de gales,906
907,polivalente profesor guillermo gonzalez h.,907
908,polivalente rigoberto fontt,908
909,polivalente saint orland,909
910,polivalente saint orland nº 3,910
911,polivalente san bernardo abad,911
912,polivalente san rafael,912
913,polivalente sembrador,913
914,portaliano,914
915,preciosa sangre,915
916,precursor francisco de miranda,916
917,presidente alessandri,917
918,presidente jose manuel balmaceda,918
919,princess anne school,919
920,providencia,920
921,pucara,921
922,puentemaipo,922
923,puerto varas,923
924,pumahue,924
925,pumahue chicauma,925
926,pumanque,926
927,punta arenas,927
928,quillota terranova,928
929,quimahue,929
930,quimay,930
931,quinto centenario cordillera,931
932,rafael eyzaguirre,932
933,rafael sanhueza lizardi,933
934,raitrai de pucon,934
935,rauquen,935
936,rayen mahuida,936
937,real de caren,937
938,redland school,938
939,regina pacis,939
940,regional federico errazuriz,940
941,rieljan college,941
942,robert and rose,942
943,rosita renard,943
944,royal american school,944
945,ruben castro diurno,945
946,ruben dario,946
947,sagrada familia,947
948,sagrado corazon de apoquindo,948
949,sagrado corazon de hospicio,949
950,sagrado corazon de jesus,950
951,sagrados corazones,951
952,sagrados corazones de alameda,952
953,sagrados corazones manquehue,953
954,saint andrew,954
955,saint charles college,955
956,saint dominic,956
957,saint gabriel school,957
958,saint gaspar college,958
959,saint georges college,959
960,saint james school,960
961,saint johns school,961
962,saint johns villa academy,962
963,saint joseph c. thomas school,963
964,saint joseph school,964
965,saint louis school,965
966,saint margarets school,966
967,saint mary college,967
968,saint mary joseph school,968
969,saint pauls school,969
970,saint peters school,970
971,saint rose school,971
972,salesiano,972
973,salesiano de iquique,973
974,salesiano padre jose fernandez perez,974
975,san adrian,975
976,san agustin,976
977,san alberto,977
978,san alberto hurtado,978
979,san andres,979
980,san anselmo,980
981,san antonio,981
982,san antonio del baluarte,982
983,san bartolome de nos,983
984,san benildo,984
985,san benito,985
986,san cristobal college,986
987,san cristobal de las casas,987
988,san damian,988
989,san esteban de las viscacha,989
990,san esteban diacono,990
991,san felipe diacono,991
992,san felix,992
993,san fernando,993
994,san fernando college,994
995,san fracisco javier,995
996,san francisco de asis,996
997,san francisco de sales,997
998,san francisco del alba,998
999,san francisco javier,999
1000,san francisco misionero,1000
1001,san gabriel,1001
1002,san gabriel arcangel,1002
1003,san gregorio de la salle,1003
1004,san ignacio,1004
1005,san ignacio alonso ovalle,1005
1006,san ignacio college,1006
1007,san ignacio el bosque,1007
1008,san isaac jogues,1008
1009,san isidro,1009
1010,san joaquin,1010
1011,san jorge,1011
1012,san jorge de las condes,1012
1013,san jose,1013
1014,san jose de chicureo,1014
1015,san jose de la familia,1015
1016,san jose de la montaña,1016
1017,san jose de lampa,1017
1018,san juan,1018
