Colegio,lat,lon
liceo polivalente maria reina/ puente alto,-33.5814622,-70.575079
san francisco misionero/ maipu,-33.5647902,-70.7866538
liceo bicentenario san pedro/ puente alto,-33.6267151,-70.5773144
liceo santiago bueras y avaria/ maipu,-33.5052761,-70.7514477
liceo leonardo murialdo/ recoleta,-33.4292932,-70.6398896
san luis de gonzaga ii/ puente alto,,
piamarta / estacion central,-33.4710865,-70.7245661
ingles isaac newton/ san bernardo,-33.6019131,-70.7010856
santa elena carmelitas misioneras teresiana/ santiago,,
santiago evangelista/ la reina,-33.4502869,-70.5654352
san juan diego/ recoleta,-33.3818964,-70.6438509
nuestra señora maria inmaculada/ el bosque,-33.5545687,-70.6760064
centro politecnico part. san ramon/ la cisterna,,
complejo educ. de lampa,,
tupahue/ puente alto,-33.6028637,-70.5838945
bertait college/ lo barnechea,-33.3507263,-70.5057362
esc. y liceo liahona/ el bosque,,
los conquistadores/ cerrillos,-33.5012084,-70.7238722
liceo politecnico hannover/ maipu,-33.4991865,-70.7442663
liceo municipal de santa cruz,-34.6382807,-71.3623183
vicente valdes/ la florida,-33.5264186,-70.5967924
altamira/ peñalolen,-33.4791156,-70.5378332
liceo almirante galvarino riveros/ conchali,-33.3727566,-70.6820497
monteverde/ peñalolen,-33.4723283,-70.5514828
santa maria/ quilicura,-33.3501788,-70.7316693
liceo comercial / ñuñoa,-33.4570674,-70.5994531
panquehue/ panquehue,-32.7705769,-70.8361303
nueva aurora de chile/ recoleta,-33.3967651,-70.6457573
monte olivo de puente alto,-33.617936,-70.6141867
universitario ingles/ providencia,-33.4274482,-70.6220567
compañia de maria seminario/ providencia,-33.4371975,-70.6314692
pablo apostol/ la florida,-33.5344739,-70.5361339
excelsior / santiago,-33.4517223,-70.6688839
ingles catolico/ la serena,-29.9174955,-71.255121
los alerces de talagante,-33.6680131,-70.9267975
liceo experimental manuel de salas/ ñuñoa,-33.4543532,-70.5907163
sagrada familia/ viña del mar,-32.9532488,-71.5374386
anglo american international school/ lo barnechea,-33.3546092,-70.4804768
hispano americano/ santiago,-33.4558057,-70.6395196
alterra/ san bernardo,-33.640717,-70.6991153
subercaseaux college/ san miguel,-33.4800904,-70.6554141
san francisco de asis/ la florida,-35.4267252,-71.6685385
the antofagasta british school/ antofagasta,-23.6772658,-70.4100799
santa cruz/ santiago,-33.4964084,-71.6171344
centro de estudios la araucana/ santiago,-33.4494649,-70.6612819
verbo divino/ chicureo,-33.2832362,-70.6444898
liceo mater purissima/ maipu,-33.5051956,-70.7472341
saint margarets school/ concon,,
the angels school/ ñuñoa,-33.4471472,-70.594791
instituto san fernando/ san fernando,-34.598115,-70.9893864
complejo educ./ chimbarongo,,
kingston college/ concepcion,-36.7844903,-73.0513621
concepcion/ parral,-36.1627567,-71.8315379
universitario el salvador/ ñuñoa,-33.4484033,-70.6215307
jose abelardo nuñez murua/ puente alto,,
liceo salesiano camilo ortuzar montt/ macul,-33.503597,-70.5897297
terranova/ peñaflor,-33.6079709,-70.9034228
divina pastora/ la florida,-33.5458318,-70.5896368
antimanque/ peñaflor,-33.6095228,-70.9027011
instituto aleman/ puerto montt,-41.470425,-72.9327799
los alpes/ maipu,-33.56506,-70.7816039
liceo octavio palma perez/ arica,-18.4739585,-70.3084812
san marcos/ macul,-33.4916495,-70.5861915
cordillera / puente alto,-33.5819581,-70.5725668
liceo bicentenario altos del mackay/ coyhaique,-45.5883029,-72.1009621
saint charles college/ la florida,-33.5349847,-70.5985849
quillota terranova/ quillota,-32.862999,-71.2379686
san antonio/ santiago,-33.4387776,-70.6482554
n° 1 de ñuñoa,-33.4644007,-70.6249277
san gabriel/ coquimbo,-29.962051,-71.3393001
alto del maipo/ isla de maipo,-33.7437431,-70.8627397
escuela basica palmares oriente/ quilicura,,
instituto san martin/ curico,-34.9888533,-71.2389072
santa catalina laboure/ la reina,-33.4495302,-70.5701766
curimon/ san felipe,-32.7860524,-70.6842487
complejo educ. juan jose latorre b./ mejillones,,
presidente alessandri/ independencia,-33.4178162,-70.6774496
parroquial san miguel/ san miguel,-33.4868814,-70.649754
san ignacio/ talca,-35.422216,-71.6706877
liceo salesiano manuel arriaran/ la cisterna,,
liceo santa marta/ talca,-35.432536,-71.6450978
santa maria reina/ la reina,-33.4517412,-70.5507042
liceo eugenio maria de hostos/ la reina,,
cordillera/ molina,-35.1145164,-71.2805077
curacavi college / curacavi,-33.4067734,-71.1283142
nuestra señora de la merced/ melipilla,-33.6867112,-71.2164076
francisco encina/ ñuñoa,-33.4637602,-70.6004458
itahue/ chiguayante,-36.8755052,-73.0325132
liceo tecnico profesional la araucana/ concepcion,-36.8037878,-73.0297676
liceo bicentenario de excelencia nacional/ cerro navia,,
liceo republica de grecia/ talagante,-33.6639223,-70.9237144
ingles/ iquique,-20.2227261,-70.1510855
san juan de las condes/ las condes,-33.4296147,-70.5838096
alcantara de la florida,-33.5219981,-70.5861619
fundadores / calera,-32.7934586,-71.2050154
aleman de valparaiso/ viña del mar,-33.0380549,-71.5248955
inmaculada concepcion/ concepcion,-36.7446164,-72.4777377
parroquial santa rosa de lo barnechea/ lo barnechea,-33.3618809,-70.5039109
carolina llona de cuevas/ maipu,,
rauquen/ curico,-34.9627043,-71.2010385
san francisco de asis/ san bernardo,-34.398058,-71.9923057
chile/ san miguel,-33.4796656,-70.6689252
latinoamericano/ la florida,,
liceo capitan ignacio carrera pinto/ colbun,,
germania del verbo divino/ puerto varas,-41.3209672,-72.987934
precursor francisco de miranda/ quillota,-32.8781276,-71.2550382
liceo politecnico cesareo aguirre g./ calama,,
concepcion san pedro/ san pedro de la paz,-36.849326,-73.1322641
maria inmaculada/ concepcion,-20.2118769,-70.1498458
instituto humanidades san francisco de asis/lota,,
liceo camilo henriquez/ temuco,-38.7323505,-72.6223899
quimahue/ rancagua,-34.1370061,-70.7342652
real de caren/ machali,-34.1686121,-70.6500738
arturo perez canto/ recoleta,-33.4018924,-70.6295286
buin/ buin,-33.7323649,-70.7284333
esc basica part emilia gonzalez espinoza/ san bernardo,,
jose agustin alfonso/ pedro aguirre cerda,-33.5030644,-70.6777054
madre de jesus/ padre hurtado,-33.5667245,-70.7861414
montessori/ san bernardo,-33.596602,-70.7043946
sofia infante hurtado/ maipu,-33.5256419,-70.7579145
liceo san francisco/ san ramon,-33.5441369,-70.6345558
liceo isaura dinator de guzman/ santiago,-33.4456162,-70.6789795
centro educacion mariano egana/ peñalolen,,
cardenal raul silva h./ viña del mar,,
maria auxiliadora/ los andes,-32.8322228,-70.6017635
ingles saint john/ rancagua,-34.1758792,-70.7231699
scuola italiana/ villa alemana,-33.0468956,-71.3749789
